667 2068601 642
668 2069243 3442
669 2072685 598
670 2073283 3632
671 2076915 580
672 2077495 674
673 2078169 1433
674 2079602 4367
675 2083969 1016
676 2084985 708
677 2085693 319
678 2086012 776
679 2086788 1739
680 2088527 680
681 2089207 5590
682 2094797 584
683 2095381 3684
684 2099065 692
685 2099757 1708
686 2101465 651
687 2102116 642
688 2102758 1170
689 2103928 3878
690 2107806 2146
691 2109952 926
692 2110878 3061
693 2113939 1303
694 2115242 820
695 2116062 5081
696 2121143 5578
697 2126721 527
698 2127248 8838
699 2136086 4323
700 2140409 3447
701 2143856 2177
702 2146033 3444
703 2149477 1844
704 2151321 979
705 2152300 5798
706 2158098 583
707 2158681 2539
708 2161220 2598
709 2163818 2023
710 2165841 2374
711 2168215 5213
712 2173428 1199
713 2174627 718
714 2175345 641
715 2175986 644
716 2176630 1952
717 2178582 5495
718 2184077 3569
719 2187646 2577
720 2190223 2059
721 2192282 2707
722 2194989 2581
723 2197570 1542
724 2199112 1633
725 2200745 6455
726 2207200 160
727 2207360 520
728 2207880 581
729 2208461 479
730 2208940 1575
731 2210515 3019
732 2213534 2521
733 2216055 2081
734 2218136 188
735 2218324 3227
736 2221551 1774
737 2223325 1664
738 2224989 6562
739 2231551 945
740 2232496 650
741 2233146 8233
742 2241379 1031
743 2242410 174
744 2242584 2939
745 2245523 951
746 2246474 8793
747 2255267 1132
748 2256399 2907
749 2259306 649
750 2259955 853
751 2260808 1512
752 2262320 640
753 2262960 1370
754 2264330 3494
755 2267824 3128
756 2270952 4862
757 2275814 213
758 2276027 2414
759 2278441 3568
760 2282009 4492
761 2286501 11439
762 2297940 174
763 2298114 3322
764 2301436 2630
765 2304066 2472
766 2306538 8378
767 2314916 642
768 2315558 181
769 2315739 648
770 2316387 2151
771 2318538 2684
772 2321222 642
773 2321864 646
774 2322510 2249
775 2324759 3625
776 2328384 642
777 2329026 646
778 2329672 2990
779 2332662 660
780 2333322 663
781 2333985 3998
782 2337983 2287
783 2340270 4011
784 2344281 3401
785 2347682 3727
786 2351409 5823
787 2357232 5403
788 2362635 4363
789 2366998 1625
790 2368623 793
791 2369416 5358
792 2374774 1395
793 2376169 5321
794 2381490 3812
795 2385302 2675
796 2387977 7434
797 2395411 9570
798 2404981 1152
799 2406133 659
800 2406792 642
801 2407434 8406
802 2415840 2529
803 2418369 625
804 2418994 2465
805 2421459 1040
806 2422499 2472
807 2424971 4216
808 2429187 2332
809 2431519 4034
810 2435553 183
811 2435736 636
812 2436372 1057
813 2437429 2569
814 2439998 8507
815 2448505 694
816 2449199 5302
817 2454501 3541
818 2458042 7784
819 2465826 2350
820 2468176 3856
821 2472032 657
822 2472689 3419
823 2476108 2240
824 2478348 9612
825 2487960 1019
826 2488979 698
827 2489677 6384
828 2496061 2237
